node_provider_id,rewards_icp,account_id
fnzev-s6xem-s2myy-rrxoa-2mpp6-oet33-pmnba-ajo75-qhfdw-esys7-7qe,0.00000000,0616580eb85db6566781be14eab3ad1a6b2a78166c6d8e3c376df8a159905022
x7uok-pi537-itm37-unjn3-ewkze-kuetg-kptap-nuqak-auq7z-tn5ey-dqe,14050.47183662,215bcadda3c7ebfd95677c26ea1130ce060f0021d1b7c605b068f7e692e00aeb
w4buy-lgwzr-pccs7-huzhh-qqnws-rns75-iaoox-jolrm-xs2ra-vdu3o-2qe,11524.73571809,6826718e36a82485cfd2897c3b246980033a920ec1c562865d491e05a7dc7549
dodsd-rsjlg-sgekb-gr6mi-l6fck-tscwk-4jzgl-fwk4q-ncoyu-ulx53-aqe,12327.78296849,8a48a35632575eb043429d6ac04d4f6301ef10b26fc185dd5e113b7781cc7b08
glrjs-2dbzh-owbdd-fpp5e-eweoz-nsuto-e3jmk-tl42c-wem4f-qfpfa-qqe,24993.23011211,3298bb5ba33a5a9222426e09624f4680edc836ba1fde7fdc294cd99973239ec1
rpfvr-s3kuw-xdqrr-pvuuj-hc7hl-olytw-yxlie-fmr74-sr572-6gdqx-iqe,24981.35767040,b88d083cc67905ba6e0d3de425c51c7e64082560aaf2ab6cd209e198dfb9bc90
ss6oe-fm7b2-b5r57-y3x74-omrz5-d5pgy-5iwtw-4aew5-aqj3l-6ydra-wqe,12327.78296849,349fd5eea4dffaed0d1164a8dbb8fb5911650ee27f0130bde2e38eca0f3a0288
2wxzd-qrbrs-ailta-kdtyb-ucg35-xcxd4-txevb-ot7hx-wiyus-szcca-nqe,13262.96765438,b287413a3569526c48c93ba8c53d7f3974ebf6839fe67b6e0f90a29505017806
c5svp-7pkmf-agz5x-536k7-r7rcw-4wn3a-eo7pt-ry7su-j42uq-bvnzf-iqe,6905.80970813,d665257a97679691bcbe5f1a1d5e8d2c40c9596214eeca82ceac3a75f6adfe90
ma7dp-gz4tg-3c2wv-pgnsv-wna7u-czvhu-fpu47-t4dr6-gzxql-wr2m2-qae,13941.98874354,f816beba7f7b0dba89663ebfcbe1735286be0362f890a361d4ed74a1e024b9ba
2dgp4-h57n4-a4kgx-n4uun-huo3a-wbdlc-m57wd-jtkuh-g5vcc-fcbby-6qe,12327.78296849,e9224b1a4e0ebe81129df37f3d74e9f6c1d1a0c16280c84021987e567e3a809b
g7dkt-aapqq-j3hqt-xtiys-pwapz-idulp-nwagd-zibqm-caxa4-gc23t-3qe,6581.36545648,e54f7c9cc939dfd6e9fccda41536e00a01b38316429bfc88a3c5e64e858c272d
dnpkk-x67ir-zwcyz-fkgzz-547t7-papxf-zby5t-i2log-uodsf-pcizd-jae,14587.05819540,3fad0cacebe71835d9f86cfcd7312bef0072c56aaed4adfa3d0bb660dd17383a
2hl5k-umjdt-ykii4-goecz-kkps6-nvl53-l7ost-p4mcp-qmnmw-rzrfc-mqe,19326.62439935,bdf4e83aa8d44ea93b2aa4509e73d1f2b62f5307262fa0674ab2968e6997cad4
gtdcl-kijoz-5fk3p-acmop-gmocy-nhpeq-a5fay-7q5ol-4lmdk-ldz4m-aqe,0.00000000,894c62067ab06da82c72a488b2e90af86a671b14fcc76eab5c3773abb1517f0c
mrfhx-rsvqz-jndwd-3nrkb-fw3wy-cq64z-iszxt-drffc-f4rtj-ivoop-6ae,585.85255383,d9cc1a5af63e599c56e7921169fec99f19fb7e17193554cc81dfb75b8422da3a
64kb5-mzfmq-5wq5v-tm4p6-hekel-ne5xb-amiwr-cwvgg-t7db6-jlpau-nae,112.66395266,a5a763f67310456eb7052bc5a4e694abad8a232f2cd530824489fb181f8585c0
is2tg-4for6-ytyzl-5xokl-jd3kz-4y5ky-g7am2-yotrq-5yruf-twke6-vae,495.72139170,5fed3a423365a37ca5ee93af43ea212898d4922460fd07476a0edadc1402253f
g4gfo-2buho-hg3ho-pamsx-yg2vz-qnz2r-fsn65-j6dv7-myful-iy6vv-tqe,675.98371596,66a7baa173186cce164e0eb382b3bf25de0dd3cdd0fc1a980c8b35ab2d1793f8
c3i3u-4ot4i-zino3-jrxre-7s426-dk2th-cvino-nznco-lkbpn-vl5of-4qe,135.19674319,15f3c43ab62d72203b144059dfd78d1d374658bc9fae9f4d81ddea3a380aa923
qpwbv-tu7uj-vpndf-talpd-zufus-itpe5-n66ua-yahhs-ttiu5-ileoc-2qe,0.00000000,cc6a1074c9cdab9b06476d1d98fac0d541edbe81ab32d848bb7aa43ece4e51eb
gjsts-tuec7-wp6cl-zmk6w-sfpp6-ei34c-l7njq-les4c-yupv3-hbcpg-tae,90.13116212,fcc5feefbb8f1ae9e8ac8358591b513b4119848499605dc42afa60ee5569c00c
hycj4-e3jwh-l2bqz-ohuxh-tu4af-agzov-uugg6-j57rk-b6opc-fx3ml-kqe,675.98371596,a0dc3dbf0b31cce4144892145635715cc919df346adf669477cc61044dc8900b
f5kd2-ylls6-e6cts-6exqp-pwra3-djn2g-lnvbi-a3qs6-cfdr6-ti5dw-qqe,315.45906744,6171bc2565d91c110882bb622e6c978cd7fbf9c7f3ef327ecb463413991cf619
izdfy-ocmaz-3qwcy-lluqx-tvq64-oybib-oyhxx-3dfni-ssznb-suhes-iqe,90.13116212,8c99bb581be33a6c068169ab6477f42563ef1bee9cd5abb5ecdd605b25e6fea8
mf6om-4m4yc-36jur-ip35a-6d3yr-kqi7v-txofz-nraz3-f6a4l-dcufx-oqe,675.98371596,e202362edf44760b748268fd3f79fc7d80688d41f9fb174cce77d6d5bea66760
hokzb-gsg3k-oj44m-tqnhs-mpmwl-ujv4x-44bsz-gdoce-pl6tv-oin7v-eae,90.13116212,98cee735aa286128177e466fc24b9eebeeb77b7be7a1548353e91724bd903403
